DATE,STAID,SOUID,TG,Q_TG
2021-07-01,13,119156,160,0
2021-07-02,13,119156,198,0
2021-07-03,13,119156,198,0
2021-07-04,13,119156,199,0
2021-07-05,13,119156,186,0
2021-07-06,13,119156,230,0
2021-07-07,13,119156,236,0
2021-07-08,13,119156,188,0
2021-07-09,13,119156,183,0
2021-07-10,13,119156,204,0
2021-07-11,13,119156,194,0
2021-07-12,13,119156,220,0
2021-07-13,13,119156,227,0
2021-07-14,13,119156,163,0
2021-07-15,13,119156,155,0
2021-07-16,13,119156,185,0
2021-07-17,13,119156,174,0
2021-07-18,13,119156,187,0
2021-07-19,13,119156,209,0
2021-07-20,13,119156,209,0
2021-07-21,13,119156,215,0
2021-07-22,13,119156,222,0
2021-07-23,13,119156,222,0
2021-07-24,13,119156,239,0
2021-07-25,13,119156,189,0
2021-07-26,13,119156,224,0
2021-07-27,13,119156,223,0
2021-07-28,13,119156,208,0
2021-07-29,13,119156,215,0
2021-07-30,13,119156,234,0
2021-07-31,13,119156,205,0
2021-08-01,13,119156,159,0
2021-08-02,13,119156,176,0
2021-08-03,13,119156,172,0
2021-08-04,13,119156,150,0
2021-08-05,13,119156,174,0
2021-08-06,13,119156,184,0
2021-08-07,13,119156,209,0
2021-08-08,13,119156,181,0
2021-08-09,13,119156,202,0
2021-08-10,13,119156,214,0
2021-08-11,13,119156,222,0
2021-08-12,13,119156,241,0
2021-08-13,13,119156,251,0
2021-08-14,13,119156,252,0
2021-08-15,13,119156,265,0
2021-08-16,13,119156,203,0
2021-08-17,13,119156,177,0
2021-08-18,13,119156,180,0
2021-08-19,13,119156,186,0
2021-08-20,13,119156,203,0
2021-08-21,13,119156,213,0
2021-08-22,13,119156,204,0
2021-08-23,13,119156,180,0
2021-08-24,13,119156,173,0
2021-08-25,13,119156,188,0
2021-08-26,13,119156,169,0
2021-08-27,13,119156,148,0
2021-08-28,13,119156,138,0
2021-08-29,13,119156,143,0
2021-08-30,13,119156,135,0
2021-08-31,13,119156,166,0
2021-09-01,13,119156,169,0
2021-09-02,13,119156,166,0
2021-09-03,13,119156,183,0
2021-09-04,13,119156,190,0
2021-09-05,13,119156,190,0
2021-09-06,13,119156,195,0
2021-09-07,13,119156,188,0
2021-09-08,13,119156,195,0
2021-09-09,13,119156,211,0
2021-09-10,13,119156,200,0
2021-09-11,13,119156,188,0
2021-09-12,13,119156,207,0
2021-09-13,13,119156,207,0
2021-09-14,13,119156,210,0
2021-09-15,13,119156,192,0
2021-09-16,13,119156,188,0
2021-09-17,13,119156,171,0
2021-09-18,13,119156,173,0
2021-09-19,13,119156,144,0
2021-09-20,13,119156,150,0
2021-09-21,13,119156,151,0
2021-09-22,13,119156,148,0
2021-09-23,13,119156,148,0
2021-09-24,13,119156,151,0
2021-09-25,13,119156,168,0
2021-09-26,13,119156,178,0
2021-09-27,13,119156,184,0
2021-09-28,13,119156,176,0
2021-09-29,13,119156,148,0
2021-09-30,13,119156,133,0
2021-10-01,13,119156,136,0
2021-10-02,13,119156,158,0
2021-10-03,13,119156,159,0
2021-10-04,13,119156,172,0
2021-10-05,13,119156,171,0
2021-10-06,13,119156,115,0
2021-10-07,13,119156,97,0
2021-10-08,13,119156,131,0
2021-10-09,13,119156,120,0
2021-10-10,13,119156,109,0
2021-10-11,13,119156,84,0
2021-10-12,13,119156,61,0
2021-10-13,13,119156,80,0
2021-10-14,13,119156,74,0
2021-10-15,13,119156,89,0
2021-10-16,13,119156,99,0
2021-10-17,13,119156,95,0
2021-10-18,13,119156,100,0
2021-10-19,13,119156,85,0
2021-10-20,13,119156,152,0
2021-10-21,13,119156,134,0
2021-10-22,13,119156,99,0
2021-10-23,13,119156,103,0
2021-10-24,13,119156,81,0
2021-10-25,13,119156,58,0
2021-10-26,13,119156,73,0
2021-10-27,13,119156,88,0
2021-10-28,13,119156,81,0
2021-10-29,13,119156,115,0
2021-10-30,13,119156,113,0
2021-10-31,13,119156,124,0
2021-11-01,13,119156,114,0
2021-11-02,13,119156,67,0
2021-11-03,13,119156,98,0
2021-11-04,13,119156,44,0
2021-11-05,13,119156,42,0
2021-11-06,13,119156,53,0
2021-11-07,13,119156,41,0
2021-11-08,13,119156,50,0
2021-11-09,13,119156,58,0
2021-11-10,13,119156,107,0
2021-11-11,13,119156,116,0
2021-11-12,13,119156,88,0
2021-11-13,13,119156,57,0
2021-11-14,13,119156,71,0
2021-11-15,13,119156,63,0
2021-11-16,13,119156,66,0
2021-11-17,13,119156,59,0
2021-11-18,13,119156,70,0
2021-11-19,13,119156,45,0
2021-11-20,13,119156,53,0
2021-11-21,13,119156,44,0
2021-11-22,13,119156,39,0
2021-11-23,13,119156,58,0
2021-11-24,13,119156,34,0
2021-11-25,13,119156,34,0
2021-11-26,13,119156,28,0
2021-11-27,13,119156,12,0
2021-11-28,13,119156,9,0
2021-11-29,13,119156,4,0
2021-11-30,13,119156,0,0
2021-12-01,13,119156,47,0
2021-12-02,13,119156,56,0
2021-12-03,13,119156,19,0
2021-12-04,13,119156,8,0
2021-12-05,13,119156,17,0
2021-12-06,13,119156,3,0
2021-12-07,13,119156,-2,0
2021-12-08,13,119156,-7,0
2021-12-09,13,119156,10,0
2021-12-10,13,119156,-20,0
2021-12-11,13,119156,0,0
2021-12-12,13,119156,-5,0
2021-12-13,13,119156,27,0
2021-12-14,13,119156,16,0
2021-12-15,13,119156,26,0
2021-12-16,13,119156,1,0
2021-12-17,13,119156,11,0
2021-12-18,13,119156,-2,0
2021-12-19,13,119156,-1,0
2021-12-20,13,119156,-1,0
2021-12-21,13,119156,-12,0
2021-12-22,13,119156,-38,0
2021-12-23,13,119156,-18,0
2021-12-24,13,119156,17,0
2021-12-25,13,119156,37,0
2021-12-26,13,119156,23,0
2021-12-27,13,119156,25,0
2021-12-28,13,119156,43,0
2021-12-29,13,119156,59,0
2021-12-30,13,119156,64,0
2021-12-31,13,119156,48,0
2022-01-01,13,911121,25,0
2022-01-02,13,911121,28,0
2022-01-03,13,911121,38,0
2022-01-04,13,911121,74,0
2022-01-05,13,911121,66,0
2022-01-06,13,911121,8,0
2022-01-07,13,911121,-14,0
2022-01-08,13,911121,-13,0
2022-01-09,13,911121,4,0
2022-01-10,13,911121,-4,0
2022-01-11,13,911121,10,0
2022-01-12,13,911121,-5,0
2022-01-13,13,911121,-23,0
2022-01-14,13,911121,7,0
2022-01-15,13,911121,13,0
2022-01-16,13,911121,7,0
2022-01-17,13,911121,31,0
2022-01-18,13,911121,26,0
2022-01-19,13,911121,8,0
2022-01-20,13,911121,-2,0
2022-01-21,13,911121,13,0
2022-01-22,13,911121,1,0
2022-01-23,13,911121,28,0
2022-01-24,13,911121,7,0
2022-01-25,13,911121,7,0
2022-01-26,13,911121,8,0
2022-01-27,13,911121,10,0
2022-01-28,13,911121,23,0
2022-01-29,13,911121,20,0
2022-01-30,13,911121,58,0
2022-01-31,13,911121,11,0
2022-02-01,13,911121,12,0
2022-02-02,13,911121,23,0
2022-02-03,13,911121,36,0
2022-02-04,13,911121,22,0
2022-02-05,13,911121,28,0
2022-02-06,13,911121,5,0
2022-02-07,13,911121,37,0
2022-02-08,13,911121,8,0
2022-02-09,13,911121,22,0
2022-02-10,13,911121,32,0
2022-02-11,13,911121,22,0
2022-02-12,13,911121,1,0
2022-02-13,13,911121,6,0
2022-02-14,13,911121,24,0
2022-02-15,13,911121,22,0
2022-02-16,13,911121,16,0
2022-02-17,13,911121,90,0
2022-02-18,13,911121,72,0
2022-02-19,13,911121,61,0
2022-02-20,13,911121,62,0
2022-02-21,13,911121,60,0
2022-02-22,13,911121,62,0
2022-02-23,13,911121,63,0
2022-02-24,13,911121,75,0
2022-02-25,13,911121,71,0
2022-02-26,13,911121,25,0
2022-02-27,13,911121,16,0
2022-02-28,13,911121,15,0
2022-03-01,13,911121,24,0
2022-03-02,13,911121,24,0
2022-03-03,13,911121,51,0
2022-03-04,13,911121,31,0
2022-03-05,13,911121,8,0
2022-03-06,13,911121,5,0
2022-03-07,13,911121,20,0
2022-03-08,13,911121,6,0
2022-03-09,13,911121,40,0
2022-03-10,13,911121,46,0
2022-03-11,13,911121,52,0
2022-03-12,13,911121,65,0
2022-03-13,13,911121,66,0
2022-03-14,13,911121,97,0
2022-03-15,13,911121,82,0
2022-03-16,13,911121,90,0
2022-03-17,13,911121,80,0
2022-03-18,13,911121,109,0
2022-03-19,13,911121,71,0
2022-03-20,13,911121,73,0
2022-03-21,13,911121,85,0
2022-03-22,13,911121,90,0
2022-03-23,13,911121,96,0
2022-03-24,13,911121,97,0
