STAID, SOUID,    DATE,   TN, Q_TN
    13,  2145,18770101,  -30,    0
    13,  2145,18770102,  -30,    0
    13,  2145,18770103,  -10,    0
    13,127860,18770104,   10,    0
    13,127860,18770105,   10,    0
    13,127860,18770106,   10,    0
    13,127860,18770107,   10,    0
    13,  2145,18770108,  -40,    0
    13,127860,18770109,   30,    0
    13,127860,18770110,   10,    0
    13,  2145,18770111,    0,    0
    13,  2145,18770112,    0,    0
    13,127860,18770113,   15,    0
    13,127860,18770114,    5,    0
    13,  2145,18770115,  -22,    0
    13,  2145,18770116,  -25,    0
    13,  2145,18770117,  -50,    0
    13,  2145,18770118,  -80,    0
    13,  2145,18770119,  -80,    0
    13,  2145,18770120,  -20,    0
    13,  2145,18770121,  -15,    0
    13,  2145,18770122,  -18,    0
    13,  2145,18770123,  -30,    0
    13,  2145,18770124,  -80,    0
    13,  2145,18770125,  -70,    0
    13,  2145,18770126,  -40,    0
    13,  2145,18770127,  -60,    0
    13,  2145,18770128,  -90,    0
    13,  2145,18770129,  -70,    0
    13,  2145,18770130,  -40,    0
    13,  2145,18770131,  -20,    0
    13,  2145,18770201,  -60,    0
    13,  2145,18770202,  -60,    0
    13,  2145,18770203, -120,    0
    13,  2145,18770204,  -20,    0
    13,  2145,18770205,  -10,    0
    13,  2145,18770206,  -90,    0
    13,  2145,18770207,  -80,    0
    13,127860,18770208,   20,    0
    13,127860,18770209,   10,    0
    13,127860,18770210,   20,    0
    13,127860,18770211,   30,    0
    13,127860,18770212,   40,    0
    13,127860,18770213,   15,    0
    13,  2145,18770214,    0,    0
    13,  2145,18770215,   -5,    0
    13,  2145,18770216,  -10,    0
    13,  2145,18770217,  -10,    0
    13,  2145,18770218,  -10,    0
    13,  2145,18770219,  -50,    0
    13,  2145,18770220,  -30,    0
    13,  2145,18770221,  -20,    0
    13,  2145,18770222,  -15,    0
    13,  2145,18770223,  -30,    0
    13,  2145,18770224,  -30,    0
    13,  2145,18770225,  -10,    0
